,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2
180,280,4,0.001,0.1,1,0.0,75,1.44913444,0.0,0.0
181,311,4,0.001,45.1,1,0.0,75,1.44913444,0.0,0.0
182,342,4,0.001,90.1,1,0.0,75,1.3301868247148896,0.5502815664343526,0.0
183,1210,4,10.0,0.1,1,0.0,75,1088.3808509444575,11.619539450655147,1.8072170712838178
184,1241,4,10.0,45.1,1,0.0,75,887.177450030013,3.61175993675795,2.0525497077673442
185,1272,4,10.0,90.1,1,0.0,75,192.40221751999758,1.9281110599439595,2.1961127833933314
186,2140,4,25.0,0.1,1,0.0,75,1895.876518963103,5.600083403603823,2.103921159138352
187,2171,4,25.0,45.1,1,0.0,75,6072.457535919428,20.55265512535582,1.8962931411584563
188,2202,4,25.0,90.1,1,0.0,75,4216.930108404904,14.74097193299648,1.9586213980708542
189,3070,4,40.0,0.1,1,0.0,75,7.911761282362194,0.7072986888363783,1.7410131059020295
190,3101,4,40.0,45.1,1,0.0,75,1569.7783063947616,8.710976029730196,1.712492539536615
191,3132,4,40.0,90.1,1,0.0,75,36.74789478290331,1.979938509302809,1.752394061302062
192,4000,4,50.0,0.1,1,0.0,75,142.89695435083564,1.5996868461777474,2.716397128568297
193,4031,4,50.0,45.1,1,0.0,75,205.47438878138755,4.7302862489950535,2.2169466996654688
194,4062,4,50.0,90.1,1,0.0,75,529.4420545512717,10.189915744804598,1.917731578900069
195,281,4,0.001,0.1,2,1760.3,75,391.6233647522371,6.60138488255476,2.257241899713759
196,312,4,0.001,45.1,2,1760.3,75,436.58013353911355,7.648267269755698,2.1834590391206334
197,343,4,0.001,90.1,2,1760.3,75,515.8010174376565,9.215404277809915,2.1058676507145018
198,1211,4,10.0,0.1,2,1760.3,75,23.87910875511754,0.8444794305254851,1.7395358288808067
199,1242,4,10.0,45.1,2,1760.3,75,325.9563528160814,4.18704040150976,1.7155904532690083
200,1273,4,10.0,90.1,2,1760.3,75,21.187307118099874,1.4775743839959403,1.7412467987655553
201,2141,4,25.0,0.1,2,1760.3,75,523.4981414607907,10.160017871619056,1.9195277342459192
