,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
39,3351,8,40.0,0.1,3,3520.7,10,-12.28387491951659,5.380871511130215,9.047919218885976,81.86484160374835,9.047919186406803,21951.782183984946,41914.79902075353,322.87156138233775,146.1067263818196,89.97108290622879
40,3382,8,40.0,45.1,3,3520.7,10,-11.89741107512865,5.391542485176905,8.662995499399704,75.04749052058986,8.66299547042418,17381.5873692017,38424.315247911734,304.2201671405609,139.17980868224038,86.85700125165451
41,3413,8,40.0,90.1,3,3520.7,10,-12.637383575923792,5.369749915980369,9.398427598634552,88.33044065312302,9.398427562795971,26821.749694503837,45225.185752573896,337.7640259345323,151.17862757980026,92.09938043741076
42,4281,8,50.0,0.1,3,3520.7,10,-12.600421408076514,4.5311221257748375,8.791989685316755,77.29908260067994,8.791989683836073,102.87414599253724,39577.130295148294,12.773177059523887,0.3088215672119871,1.1804281512945922
43,4312,8,50.0,45.1,3,3520.7,10,-12.157944232360537,4.454489962645712,8.373620002301656,70.11751193041468,8.373620001553371,17.112870488364724,35900.166110988044,9.758711676440452,0.2570508626915178,0.9426087642954394
44,4343,8,50.0,90.1,3,3520.7,10,-11.718422238903079,4.319273977776603,7.9835382399588415,63.73688282030893,7.9835382394217245,0.14251299291153935,32633.28400592253,7.168768023005628,0.18838280575786287,0.6893547501100963
45,563,8,0.001,0.1,5,4000.5,10,-5.950991022479366,1.7801120284321692,0.045436278409042144,9.226012645421916,3.037435208431929,3.090417820225848e-05,1.0570011625435127,0.00014061474763745973,0.000325268879277739,0.00021690343236791413
46,594,8,0.001,45.1,5,4000.5,10,-5.957323918771096,1.7772931216426568,0.0454301064381616,9.264525727132025,3.0437683432107683,3.084420908632633e-05,1.056714020307053,0.00013878283158330848,0.00031682402950978963,0.00021394595931958937
47,625,8,0.001,90.1,5,4000.5,10,-20.370961660031348,3.859531407758694,16.61708912272616,276.1276486857906,16.61708905572184,140419.06798826682,141377.35652058697,34.62197412557885,13.456323661245817,11.239684194466967
48,1493,8,10.0,0.1,5,4000.5,10,-6.840796152833915,2.992981542699585,0.04530060765730068,9.865820346048972,3.1409903447876073,2.820661224421994e-05,1.050698267657422,0.0001238032484026701,0.0002447659695509768,0.00015334924215242306
49,1524,8,10.0,45.1,5,4000.5,10,-6.840453127554664,2.973371827140903,0.045291701129937835,9.863655552150837,3.1406457221646056,2.8591836927563403e-05,1.050285153865265,0.00012081527741705683,0.00023866344581711422,0.00014889365090770532
50,1555,8,10.0,90.1,5,4000.5,10,-6.840225549924185,2.9666693242923046,0.04528677051875288,9.862226049160961,3.140418132854439,2.8594663290703098e-05,1.050056490966503,0.00011872598905124051,0.00023419838030605897,0.00014613648608956018
51,2423,8,25.0,0.1,5,4000.5,10,-5.092438288443288,2.1484618240409823,0.04617149847657037,8.641757247912086,2.939686590082706,0.00023107646629814954,1.091485322967179,6.62557193689747e-05,0.0003295235116275,5.873504718190963e-05
52,2454,8,25.0,45.1,5,4000.5,10,-5.096268390608069,2.204089069017675,0.046216059572811746,8.664162822506919,2.9434950012709242,0.0002462391864306986,1.0935931710868694,6.799388369834468e-05,0.0003576874976358235,6.307011965959094e-05
