,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
48,1489,8,10.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1520,8,10.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1551,8,10.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1582,9,10.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1613,9,10.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1644,9,10.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1675,10,10.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1706,10,10.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1737,10,10.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1768,11,10.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1799,11,10.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1830,11,10.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1861,1,25.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1892,1,25.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1923,1,25.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1954,2,25.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1985,2,25.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2016,2,25.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2047,3,25.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2078,3,25.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2109,3,25.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2140,4,25.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2171,4,25.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2202,4,25.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2233,5,25.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2264,5,25.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2295,5,25.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2326,6,25.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2357,6,25.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2388,6,25.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2419,8,25.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2450,8,25.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2481,8,25.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2512,9,25.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2543,9,25.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2574,9,25.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2605,10,25.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2636,10,25.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2667,10,25.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2698,11,25.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2729,11,25.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2760,11,25.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2791,1,40.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2822,1,40.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2853,1,40.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2884,2,40.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2915,2,40.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2946,2,40.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2977,3,40.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,3008,3,40.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,3039,3,40.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,3070,4,40.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,3101,4,40.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,3132,4,40.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,3163,5,40.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,3194,5,40.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,3225,5,40.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,3256,6,40.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,3287,6,40.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,3318,6,40.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,3349,8,40.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,3380,8,40.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,3411,8,40.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,3442,9,40.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,3473,9,40.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,3504,9,40.0,90.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,3535,10,40.0,0.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,3566,10,40.0,45.1,1,0.0,10,1.44913444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
